I wanna study abroad.	私は留学がしてぇ。
I'm direct.	私は単刀直入なんです。
I'm eating.	今食事中。
I'm for it.	賛成。
I'm honest.	ほんとだってば。
I'm hungry!	おなか空いた！
I'm hungry!	ああ、お腹が空いた。
I'm hungry!	お腹がすいた。
I'm hungry!	腹が減った。
I'm hungry!	お腹が減った。
I'm hungry.	おなか空いた！
I'm hungry.	おなかペコペコだ。
I'm hungry.	お腹が減った。
I'm joking.	冗談だよ。
I'm lonely.	淋しいです。
I'm pooped.	疲れたなあ。
I'm scared.	私、怖い！
I'm single.	独身です。
I'm sleepy!	眠い！
I'm sleepy.	眠い！
I'm sleepy.	あー、眠い。
I'm so fat.	僕はすごく太ってる。
I'm thirty.	私は今30歳です。
I'm twelve.	12歳です。
I've eaten.	食べた
Ignore Tom.	トムのことなど気にするな。
Is Tom mad?	トム怒ってるかな？
Is he busy?	彼は忙しいですか。
Is he tall?	彼は背が高いですか。
Is it free?	無料なのですか。
Is it free?	ただなの？
Is it true?	それ本当？
Is that so?	そうなんですか？
Is that so?	そうなの？
It happens.	よくあることだよ。
It is cold.	寒っ！
It's empty.	空っぽだ。
It's funny.	変なの！
It's my CD.	俺のCDじゃねえか。
It's my CD.	それは私のCDです。
It's on me.	僕のおごりですよ。
It's on me.	私のおごりだ。
It's weird.	妙だな。
It's weird.	気色悪いー！
It's windy.	風が強いな。
Just do it.	いいからやれよ。
Just relax.	とにかく落ち着いて。
Keep going.	そのまま続けて。
Keep it up!	その調子で続けて。
Keep it up.	その調子でがんばって。
Keep quiet!	静かにしていなさい。
Keep quiet.	静かにしていなさい。
Keep still.	じっとしてて。
Lean on me.	寄りかかっていいよ。
Lean on me.	当てにしていいよ。
Let Tom in.	トムを入れてあげて。
Let him in.	中に入れてあげて。
Let him in.	お入り頂きなさい。
Let him in.	中に入ってもらって。
Let me die.	死なせてくれ。
Let me out!	出してくれ。
Let me out.	出してくれ。
Let me pay.	払わせてください。
Let me pay.	私が払いましょう。
Let me see.	見せて。
Let me see.	どれどれ。
Let me try.	私にやらせて。
Let's pray.	お祈りしましょう。
Let's sing.	さあ歌おう。
Let's swim.	さあ泳ごう。
Lighten up.	気楽にいけよ。
Look at it.	これ見て。
Look at me.	私を見なさい。
Look at me.	私を見て。
Never mind!	心配するな。
Never mind!	気にするな。
Never mind!	何でもない。
NP!	問題ないよ。
No problem!	大丈夫ですよ。
No problem.	問題ないよ。
No problem.	大丈夫ですよ。
No problem.	了解。
No problem.	問題なし。
Once again.	もう一回。
Please sit.	座りなよ。
Quiet down.	お静かに。
Say cheese.	はい、チーズ。
Say please.	「お願い」って言えよ。
Say please.	やって欲しいなら、頼めよ。
She smiled.	彼女はにっこり笑った。
She smiled.	彼女は微笑みました。
She's busy.	彼女は忙しい。
Sing along.	さあ、みんなで歌いましょう。
Stand back!	下がってろ！
Stay awake.	眠っちゃダメ。
Stay quiet.	黙ってて。
Stay still.	じっとしてて。
Stay there.	そこにいて。
Step aside.	ちょっとどいて。
Study hard.	しっかり勉強して下さい。
Take a bus.	バスに乗りなさい。
Talk to me!	話してよ！
Talk to me!	話せよ！
That hurts.	痛いです。
That hurts.	痛い。
That's new.	それは新しいです。
They tried.	彼らは挑戦した。
This is it.	さあ、着きましたよ。
This is it.	これで最後だ。
This is it.	以上です。
This is it.	これで決まりだ。
This is it.	これだよ。
This is it.	これなんです。
This works.	これは効くわ。
This'll do.	これでもいいや。
Time flies.	時のたつのは早いものだ。
Time is up.	時間終了。
Time is up.	はい、そこまで。
Try it out.	やってみて。
Turn right.	右に曲がって。
Wait a bit.	ちょっと待って。
We are men.	私たちは男です。
We'll walk.	歩いていくよ。
We're boys.	私たちは男です。
We're sunk.	八方塞がりだ。
What is it?	何ですか。
What is it?	それは何ですか。
What's new?	変わりはないかい。
Where am I?	僕はどこにいるの？
Where am I?	ここどこ？
Where am I?	ここはどこ？
Who is Tom?	トムって誰？
Who is she?	彼女は誰ですか。
Who's next?	次は誰？
Who's that?	あれ誰？
Wood burns.	木は燃えます。
You can go.	行ってもよろしい。
You decide.	あなたが決めて。
You did it!	やったね！
You may go.	行ってもよい。
You may go.	行ってもよろしい。
You'll see.	今にわかる。
You'll see.	まあ見てなよ。
You're bad.	悪い子ね！
You're bad.	おまえ、ワルだな。
You're bad.	いけない人！
All is well.	万事上手くいってます。
All is well.	万事よろしい。
Am I hungry!	ああ、お腹が空いた。
Anyone hurt?	誰かケガした？
Anyone hurt?	誰か怪我した？
Are u mad?	怒ってるの?
Are u sad?	悲しいですか。
Are u sad?	悲しいの？
Ask anybody.	誰にでもいいから訊いてみてください。
Be punctual.	遅れるなよ。
Be punctual.	時間に遅れないで。
Call me Tom.	トムと呼んで。
Can I begin?	始めていい？
Come inside.	入っておいでよ。
Contact Tom.	トムと連絡を取りなさい。
Cook for me.	僕に料理を作って。
Count me in.	私も仲間に入れて。
Count on me.	任せて。
Did Tom die?	トムは死んだ？
Did Tom try?	トムは試したの？
Did Tom win?	トムは勝った？
Did u win?	勝った？
Do as I say.	言うとおりにして。
Do it again!	もう一度おやり。
Do it again.	もう一度やって。
Do it later.	後でやって。
Do it right.	ちゃんとやって。
Do u care?	それが問題？
Do u fish?	釣りはしますか？
Don't cheat.	ズルをするなよ。
Don't shoot!	撃たないで！
Don't shoot.	撃たないで！
Don't shout.	怒鳴るなよ。
Don't shout.	怒鳴らないで。
Don't worry.	心配するな。
Don't worry.	心配しなくていいよ。
Don't worry.	気にすんなって。
Don't worry.	心配しないでください。
Forgive Tom.	トムを許してやれよ。
Forgive Tom.	トムを許してあげたら？
Get changed.	服を着替えなさい。
Get dressed.	着替えて。
Get in here!	こっちに入って！
Get serious.	冗談はやめて。
Get to work!	仕事にかかれ！
Go find Tom.	トムを探してきて。
Go Halp Tom.	トムを手伝ってきて。
Go straight.	まっすぐ行け。
Go to sleep.	眠りなさい。
Go to sleep.	もう寝なさい。
Have a seat.	座りなよ。
He can come.	彼は来る事が出来る。
He can come.	彼なら来られる。
He can come.	彼は来れる。
He can swim.	彼は泳げる。
He grew old.	彼は年老いた。
He grew old.	彼は年を取った。
He has guts.	彼は腹が据わっている。
He is alone.	彼は一人っきりである。
He is eight.	彼は８歳だ。
He is happy.	彼は幸せだ。
He is hated.	彼はひどく嫌われている。
He is lying.	彼はうそをついている。
He is lying.	彼は嘘を言っている。
He is nasty.	あいつは嫌な奴だ。
He stood up.	彼は立ち上がりました。
He was busy.	彼は忙しかった。
He's a liar.	彼はうそつきだ。
He's asleep.	彼は眠っている。
He's not in.	彼は外出しています。
He's strong.	彼は強い。
He's stupid.	彼はばかだ。
Here I come.	すぐ参ります。
Here I come.	いま、行きます。
Here we are!	さあ着いたぞ。
Here we are.	はい、着きました。
Here we are.	着きましたよ。
How are you?	元気？
How strange!	変だなあ。
I also went.	私も行った。
I am a twin.	私は双子です。
I am coming.	いま行くよ。
I am coming.	いま、行きます。
I am taller.	私の方が背が高い。
I apologize.	お詫びします。
I apologize.	御免なさい。
I apologize.	すみません。
I can't say.	何とも言えない。
I can't win.	勝てない。
I feel cold.	寒気がする。
I feel cold.	寒いなあ。
I feel fine.	僕はいい気分だ。
I feel fine.	気分爽快だよ。
I feel sick.	気分が悪い。
I got bored.	もう飽きたわ。
I got tired.	私は疲れた。
I hate dogs.	犬は大嫌い。
I have time.	私は時間がある。
I like blue.	私は青色が好きです。
I like blue.	青が好きだ。
I like both.	私はどちらも好きです。
I like cake.	私はケーキが好きだ。
I like dogs.	私は犬が好きです。
I like jazz.	僕はジャズが好きだ。
I like jazz.	私はジャズが好きです。
I like rock.	私はロックが好きです。
I like snow.	私は雪が好きです。
I like this.	私はこれが好きです。
I live here.	私はここに住んでいます。
I lost face.	私は面目を失った。
I lost face.	私は、面目丸潰れだ。
I love math.	私は数学が大好きです。
I love rock.	私はロックが好きです。
I made this.	僕はこれを作った。
I messed up.	失敗した。
I need Halp.	助けてください。
I overslept.	寝過ごしちゃった。
I saw a UFO.	私はＵＦＯを見ました。
I saw a dog.	犬を見かけました。
I saw a dog.	犬を見たんだ。
I smell gas.	ガスの臭いがする。
I surrender.	降参します。
I trust him.	私は彼を信用しています。
I trust you.	任せるよ。
I trust you.	信じているよ。
I want Mary.	私はメアリーが欲しいです。
I want more.	もっと欲しい。
I want this.	これが欲しい。
I was fired.	仕事クビになった。
I was tired.	私は疲れた。
I was tired.	私は疲れていた。
I was wrong.	私が間違っていました。
I was wrong.	私が間違ってました。
I went, too.	私も行った。
I will Halp.	お手伝いしますよ。
I won't cry.	泣くもんか。
I won't die.	死ぬもんか。
I won't lie.	嘘などつくもんか。
I'll attend.	出席します。
I'll get in.	僕は中に入ろう。
I'll get it.	私が出ます。
I'm a baker.	私はパン屋です。
I'm a nurse.	私は看護師です。
I'm a woman.	私は女だ。
I'm a woman.	私は女性です。
I'm at home.	僕は家にいるよ。
I'm careful.	僕は注意深い。
I'm certain.	確かだよ。
I'm certain.	そのことを確信している。
I'm chicken.	俺は気が小さい。
I'm chicken.	僕は意気地なしだ。
I'm curious.	私は好奇心旺盛なのです。
I'm excited.	ワクワクするなあ。
I'm fasting.	断食中です。
I'm frantic!	目が回るほど忙しいよ。
I'm healthy.	私は体は健康です。
I'm in jail.	私は服役中だ。
I'm in luck.	私はついている。
I'm jealous.	羨ましいなあ。
I'm kidding.	冗談だよ。
I'm leaving.	それじゃお先に失礼します。
I'm leaving.	今から行くよ。
I'm married.	私は結婚しています。
I'm no fool.	僕は馬鹿なんかじゃないぞ。
I'm no hero.	私は英雄などではない。
I'm no liar.	私、嘘つきじゃないもん。
I'm not Tom.	私はトムじゃない。
I'm not sad.	悲しくなんかない。
I'm not shy.	私は内気ではない。
I'm patient.	僕は我慢強いたちだ。
I'm selfish.	私って自己中だな。
I'm serious.	本気だよ。
I'm so full.	もう満腹です。
I'm starved.	お腹がぺこぺこです。
I'm starved.	おなかがすいて死にそうだ。
I'm starved.	ものすごくお腹がすいている。
I'm starved.	超腹減った。
I'm starved.	めっちゃお腹すいた。
I'm stuffed.	お腹がいっぱいです。
I'm the CEO.	私がここの最高責任者です。
I'm the law.	俺がルールブックだ。
I'm thirsty.	喉が渇いた。
I'm thirsty.	のどが渇いた。
I'm thirsty.	喉がかわいた。
I'm thirsty.	のど渇いた。
I'm trapped.	閉じ込められてしまった。
I'm unlucky.	ついてないや。
I'm useless.	俺って役立たずだな。
I'm worried.	心配だわ。
Is Tom back?	トムは戻っていますか？
Is Tom busy?	トムは忙しいでしょうか？
Is Tom cool?	トムってカッコいい？
Is Tom cute?	トムってかわいい？
Is Tom done?	トムおわた？
Is Tom good?	トムっていいヤツ？
Is Tom here?	トムはここにいますか？
Is Tom nuts?	トムってバカ？
Is Tom safe?	トムは無事だろうか。
Is Tom sane?	トムは正気なんだろうか。
Is Tom sick?	トムは病気なの？
Is Tom well?	トムは元気してる？
Is he right?	彼は正しいですか。
Is it Tom's?	これ、トムのですか？
Is it clean?	これってきれいかな？
Is it clear?	分かりますか？
Is it dirty?	これって汚いかな？
Is it foggy?	霧が出ていますか？
Is it foggy?	霧は出ていますか？
Is it legal?	それって合法的なんだろうか？
Is it yours?	それ、あなたの？
Is that Tom?	あれはトムかな？
Is that all?	話はそれだけ？
Is that all?	それで全部？
It can't be!	そんなのありえないよ。
It cost $30.	それは30ドルする。
It is on me.	私のおごりだ。
It is on me.	それは僕のおごりだ。
It is on me.	今日は私が。
It may rain.	雨が降るかもしれない。
It may snow.	雪が降るかもしれません。
It was cold.	寒かった。
It was cold.	冷たかった。
It was dark.	暗かった。
It was easy.	簡単だった。
It was fate.	そうなる運命だったんだよ。
It's 50 yen.	50円です。
It's Monday.	月曜日です。
It's Monday.	今日は月曜ですね。
It's a deal.	よし、それで手を打とう。
It's a fake.	それは贋物よ。
It's a joke.	冗談ですよ。
It's a joke.	冗談だよ。
It's broken.	それは壊れている。
It's cloudy.	曇っています。
It's ironic.	皮肉だな。
It's locked.	鍵がかかっている。
It's my job.	それが仕事です。
It's my job.	それは私の仕事です。
It's normal.	そんなものだよ。
It's secret.	それは秘密です。
It's so big.	随分と大きいな。
It's urgent.	至急お願いします。
It's urgent.	緊急です。
Jump across.	飛び越えろ！
Just get up.	とにかく起きろ。
Just try it.	まあ試してごらんよ。
Let Tom try.	トムにやらせてあげて。
Let me Halp.	手伝わせて。
Let me know.	私に知らせて。
Let me know.	ご一報ください。
Let's begin.	さぁ始めましょう。
Let's begin.	さあ、始めましょう。
Let's begin.	始めましょう。
Let's dance.	さあ踊ろう。
Let's drink.	さあ飲もうじゃないか。
Let's hurry.	急ぎましょう。
Let's party!	さあ、みんなで盛り上がろう！
Let's relax.	リラックスしよう。
Let's start!	さぁ始めましょう。
Let's start!	始めましょう。
Let's start.	始めましょう。
Life is fun.	人生は楽しい。
Look at Tom.	トムを見てごらん。
Look at him.	彼を見て。
Look closer.	よく見て。
Make a wish.	願い事をして。
Many thanks.	本当にありがとう。
May I begin?	始めていい？
Just be calm.	まあ落ち着け。
Just be cool.	まあ冷静になれよ。
Just do that.	とにかくやれよ。
Just go away.	とにかく失せろ。
Just go home.	とにかく家に帰りなさい。
Just Halp me.	ちょっと手伝って。
Just say yes.	うんと言ってよ。
Just shut up.	いいから黙って。
Just stop it.	とにかくやめろよ。
Just take it.	まあ受け取って。
Keep dancing.	踊り続けて。
Keep digging.	そのまま掘り続けて。
Keep reading.	読み続けて。
Keep running.	走り続けて。
Keep singing.	歌い続けて。
Keep smiling.	笑顔を続けて。
Keep smiling.	笑顔を絶やさないで。
Keep talking.	話し続けて。
Keep up, Tom.	トム、遅れないでついてきて。
Keep walking.	歩き続けて。
Keep working.	働き続けなさい。
Keep writing.	書き続けて。
Knock it off.	やめなさい。
Knock it off.	いいかげんにして。
Let Tom know.	トムに知らせろ。
Let Tom live.	トムを生かしておけ。
Let Tom rest.	トムを休ませてやりなさい。
Let go of me!	私から手を離せ！
Let me do it.	私にやらせてください。
Let me speak.	ちょっといいですか？
Let me think.	ちょっと考えさせて。
Let's go eat.	食事に行きましょう。
Let's go now.	そろそろ行きましょうか。
Let's go out.	さあ出かけよう。
Let's listen.	聞こう。
Let's not go.	行くのはやめよう。
Let's review.	見直しをしようじゃないか。
Life is hard.	人生は苦なり。
Life's short.	人生は短い。
Listen to me.	私の言うことを聞きなさい。
Look at that!	あれを見て！
Look at this.	これ見て。
Look at this.	これを見て。
Look closely.	よく見て。
Make a guess.	当ててみて。
Mary came in.	メアリーが入ってきた。
Mary giggled.	メアリーはクックッと笑った。
Mary is tall.	メアリーは背が高い。
May I cut in?	お話し中すみません。
Men cry, too.	男だって泣くことくらいあるさ。
Move quietly.	そーっと動かしてね。
My arm hurts.	腕が痛む。
